proximityRef;timestamp;proximity;rssi;accuracy
1.5;15:01:39;2;-69;1.69289931758152
1.5;15:01:40;2;-69;1.68853058580667
1.5;15:01:41;2;-69;1.68531702586189
1.5;15:01:42;2;-69;1.68284337977272
1.5;15:01:43;2;-69;1.68087402338847
1.5;15:01:44;2;-69;1.67926587781642
1.5;15:01:45;2;-68;1.65088773860477
1.5;15:01:46;2;-67;1.5997143209868
1.5;15:01:47;2;-68;1.57379461834721
1.5;15:01:48;2;-68;1.54835802776499
1.5;15:01:49;2;-66;1.4180122289223
1.5;15:01:50;2;-65;1.27210308195605
1.5;15:01:51;2;-65;1.18700532206829
1.5;15:01:52;2;-65;1.13579791567379
1.5;15:01:53;2;-66;1.13594157284457
1.5;15:01:54;2;-69;1.20983305718109
1.5;15:01:55;2;-69;1.26937967272226
1.5;15:01:56;2;-67;1.27278331509411
1.5;15:01:57;2;-66;1.25104415822782
1.5;15:01:58;2;-66;1.23398528936265
1.5;15:01:59;2;-66;1.22022477888938
1.5;15:02:00;2;-66;1.20888998704215
1.5;15:02:01;2;-66;1.19940361371518
1.5;15:02:02;2;-66;1.19136699814768
1.5;15:02:03;2;-65;1.16460083676412
1.5;15:02:04;2;-65;1.14222687128219
1.5;15:02:05;2;-65;1.12330176855815
1.5;15:02:06;2;-66;1.12484148396305
1.5;15:02:07;2;-66;1.1262001687842
1.5;15:02:08;2;-66;1.12739944142022
1.5;15:02:09;2;-66;1.12845811734778
1.5;15:02:10;2;-66;1.12939288720149
1.5;15:02:11;2;-66;1.13021825959502
1.5;15:02:12;2;-66;1.13094734388695
1.5;15:02:13;2;-66;1.13159133281879
1.5;15:02:14;2;-66;1.13215975703514
1.5;15:02:15;2;-67;1.14875308483939
1.5;15:02:16;2;-67;1.16378548823726
1.5;15:02:17;2;-67;1.17735397006604
1.5;15:02:18;2;-67;1.19958294391302
1.5;15:02:19;2;-67;1.2223816549362
1.5;15:02:20;2;-67;1.24155388143755
2.0;15:04:04;3;-76;6.32092239923679
2.0;15:04:05;3;-78;6.197300388729
2.0;15:04:06;3;-77;5.96896769133677
2.0;15:04:07;3;-77;5.76223049322723
