rssi;accuracy;proximity
-85;11,43;3
-85;11,49;3
-85;11,55;3
-85;11,60;3
-85;11,66;3
-85;11,71;3
-85;12,02;3
-85;12,04;3
-85;12,60;3
-85;12,62;3
-85;13,02;3
-85;13,02;3
-85;12,07;3
-85;12,08;3
-85;12,12;3
-85;12,16;3
-85;12,55;3
-85;12,57;3
-85;12,59;3
-85;12,60;3
-85;12,62;3
-85;12,63;3
-85;12,12;3
-85;12,15;3
-85;12,18;3
-85;12,21;3
-85;12,23;3
-85;12,26;3
-85;12,28;3
-85;12,31;3
-85;12,75;3
-85;12,75;3
-85;12,82;3
-85;12,76;3
-85;12,77;3
-85;12,78;3
-85;12,78;3
-85;12,79;3
-85;12,79;3
-85;12,80;3
-85;12,80;3
-85;12,80;3
-85;12,81;3
-85;12,81;3
-85;10,74;3
-85;10,90;3
-85;11,31;3
-85;14,53;3
-85;14,90;3
-85;14,82;3
-85;14,74;3
-85;14,66;3
-85;14,59;3
-85;15,15;3
-85;15,06;3
-85;14,98;3
-85;14,89;3
-85;19,58;3
-85;19,24;3
-85;18,72;3
-85;17,85;3
-85;17,51;3
-85;17,89;3
-85;17,67;3
-86;5,68;3
-86;6,21;3
-86;6,46;3
-86;12,80;3
-86;12,15;3
-86;14,15;3
-86;14,17;3
-86;14,19;3
-86;15,40;3
-86;9,61;3
-86;10,45;3
-86;11,23;3
-86;11,36;3
-86;11,78;3
-86;12,22;3
-86;14,72;3
-86;19,86;3
-86;19,54;3
-86;12,44;3
-86;12,54;3
-86;12,38;3
-86;12,46;3
-86;12,53;3
-86;12,60;3
-86;12,67;3
-86;12,74;3
-86;12,82;3
-86;11,16;3
-86;12,55;3
-86;13,32;3
-86;14,54;3
-86;14,14;3
-86;14,73;3
-86;21,66;3
-86;20,84;3
-86;20,52;3
-86;20,23;3
-86;19,96;3
-86;19,02;3
-86;18,55;3
-86;18,39;3
-86;18,23;3
-86;18,09;3
-86;17,73;3
-86;17,40;3
-86;17,55;3
-86;17,29;3
-86;17,20;3
-87;5,96;3
-87;11,90;3
-87;12,34;3
-87;13,55;3
-87;14,27;3
-87;14,35;3
-87;14,43;3
-87;14,51;3
-87;15,39;3
-87;15,43;3
-87;9,30;3
-87;10,66;3
-87;11,10;3
-87;12,34;3
-87;12,58;3
-87;13,18;3
-87;13,33;3
-87;14,64;3
-87;14,72;3
-87;14,80;3
-87;14,87;3
-87;14,94;3
-87;20,79;3
-87;20,36;3
-87;20,14;3
-87;19,31;3
-87;12,34;3
-87;23,31;3
-87;22,91;3
-87;11,64;3
-87;13,06;3
-87;13,24;3
-87;13,49;3
-87;14,62;3
